date,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,bollinger_bands,atr
2020-11-07,455.91,468.28,424.14,435.21,1653416.5961,-0.04646674839470322,-0.017401880091631128,1.7136451516627307,62.53200976778316,4.346070408437065,0.9436553480288111,23.43480835647237
2020-11-08,435.2,460.1,431.99,454.3,840908.46841,0.042929099546437754,-0.6761162728885317,0.7413609004410597,66.57514986552967,5.576979812647636,1.0613318200819148,23.768840006482975
2020-11-09,454.29,459.1,433.09,444.32,1099213.24641,-0.022212749206868665,0.267867154912075,0.9223916721233951,62.762160671559535,5.327463500850422,0.9060901860376922,23.928962652638873
2020-11-10,444.32,455.0,438.7,450.34,866872.41108,0.013457829473024319,-0.23745816778355255,0.7006131343425271,64.09790650639484,5.172065342371452,0.9127547871899794,23.383910981371265
2020-11-11,450.34,476.25,449.28,463.09,1205782.84262,0.02791856661375558,0.329992492343953,0.9618719338679926,66.81312100263618,5.501509541647769,0.9689139401768248,23.640115091911703
2020-11-12,463.09,470.0,451.2,462.39,990776.62912,-0.0015127288185308174,-0.19639518746268259,0.7859943114338488,66.51569356299613,5.246686897067017,0.9061876184920202,23.294323787399318
2020-11-13,462.48,478.01,457.12,476.43,976665.09752,0.029912116963926927,-0.01434530274153012,0.8198007696695464,69.45295269058556,5.567729441928062,0.9546005862393095,23.12255464022768
2020-11-14,476.42,477.47,452.0,460.89,735252.7854,-0.0331614049799871,-0.28392944090866834,0.674222608419963,62.878333992326084,4.332467073108816,0.7997783568702888,23.290258078395315
2020-11-15,460.9,462.89,440.19,448.08,665217.56671,-0.028187614909101377,-0.10010021066518959,0.693402239954371,58.00394496855783,2.3508450829736702,0.6823763789743295,23.248090069847734
2020-11-16,448.07,466.0,445.45,460.55,812060.44638,0.027449639532667547,0.1994606236126959,0.8692070102527655,61.160375197453554,1.6132517306237482,0.7518177363089482,23.055340839383724
2020-11-17,460.51,484.88,459.8,482.15,1151573.37456,0.045833841522148866,0.3493096593359777,1.2892201338472105,65.93624230494207,2.2730356335771376,0.8702663109009738,23.199979217364397
2020-11-18,482.11,495.31,456.6,478.41,1477696.29116,-0.007787163528402807,0.249355155951271,1.5822783962467422,64.45829631071972,2.1517612568882214,0.8108166458825412,24.30797916125336
2020-11-19,478.43,480.75,464.86,471.25,817418.52685,-0.015079366665769811,-0.5920883575736653,0.8403181334391234,61.61108730719712,1.3241313759379878,0.7360515766387132,23.70662371579272
2020-11-20,471.26,514.4,470.65,510.12,1516361.90736,0.07925725339647816,0.6179180264241797,1.5995658166764912,69.49003816703528,3.031666377526861,0.9773930706726596,25.138450911939938
2020-11-21,510.12,553.32,502.82,552.35,1548851.29067,0.07953591115958503,0.021199569483812297,1.510952101045548,75.39785232736001,6.446199376344577,1.138334171209114,26.95017514087606
2020-11-22,552.42,580.88,511.28,560.03,1850317.93581,0.013808450404584782,0.17784392813389616,1.6212210161018157,76.29676520392475,8.532057710521357,1.0883072987360902,29.996880100536625
2020-11-23,560.03,610.85,550.12,608.58,2076008.84846,0.08313802089309075,0.11508974603945532,1.5840003029252114,81.01837999915472,12.264565999859848,1.1951142375712989,32.192296257128966
2020-11-24,608.58,623.0,585.0,604.97,1606450.49193,-0.005949504591441723,-0.25642014580788874,1.0773048121885924,79.74635274941531,13.47681555646847,1.06723820525904,32.60716615886389
2020-11-25,604.98,606.0,553.83,569.5,1219440.02727,-0.06042008713728109,-0.27563532241646627,0.7836222970295632,68.38539623433248,10.98192048205906,0.8593873959798517,34.00461752879631
2020-11-26,569.38,577.14,481.0,519.83,2683460.74171,-0.09125694783968541,0.7887155236835923,1.7662897838883924,56.29153882095378,5.363004650269367,0.6136057689509219,38.443172042412954
2020-11-27,519.83,530.62,493.72,518.68,1088064.28114,-0.002214712366868099,-0.9027070543991353,0.6092725566360687,56.04441071131443,1.1647756588245954,0.5914480635537702,38.33293825179905
2020-11-28,518.59,547.94,506.59,537.52,900508.61431,0.03567884593121118,-0.18919577688947875,0.52213803430763,59.204227679870876,-0.6498559030151014,0.664140353849196,38.54845576292013
2020-11-29,537.5,576.9,530.32,576.3,855276.46664,0.06966238983072603,-0.05153496124645507,0.5240549509629246,64.81159483793228,0.398636580653438,0.8191613010199382,39.12216987715872
2020-11-30,576.32,616.85,570.07,616.66,1501989.45408,0.0676894600923923,0.5631210415829333,1.0081230228745364,69.50886427022465,3.2866393749995098,0.9490555326328449,39.6691864137278
2020-12-01,616.65,635.7,560.0,585.26,2163875.81376,-0.05226162559488934,0.36511043991514214,1.5369699191847501,62.51679435005102,2.5891712446534,0.7755167206390682,42.24294121767848
2020-12-02,585.26,604.93,575.0,596.89,1069538.65619,0.019676648869148217,-0.7046735789234599,0.7190096154049558,63.962740365429475,2.4211346618012044,0.7970880476554473,41.363405667879256
2020-12-03,596.88,623.44,585.82,615.85,935687.91723,0.0312705855782216,-0.1337006729220711,0.6382147454219698,66.2486043781866,3.056009491609302,0.843155537689576,41.09600832752327
2020-12-04,615.84,620.0,565.82,567.24,1052452.78666,-0.08222093279434795,0.11759670715271042,0.8652049768378391,56.3753591341984,-0.1582723557237813,0.6084099022188995,42.030615580230375
2020-12-05,567.24,597.11,560.88,596.8,701567.95564,0.0507995542964057,-0.40556093951628647,0.5791702714829875,60.2544926526614,-0.6276455566053656,0.7270657624604199,41.61627090337984
2020-12-06,596.82,607.5,583.0,601.54,602496.96339,0.007910984729755377,-0.15223514141828964,0.509333404283478,60.855571460023555,-0.934481761587115,0.7317497890951745,40.39363904510762
2020-12-07,601.59,603.15,584.22,591.28,498329.37589,-0.01720335514267468,-0.18982136956822693,0.43453852741945365,58.783279763020076,-2.0784931498199555,0.6572049357624852,38.860474136842655
2020-12-08,591.27,595.0,549.22,554.94,804443.00717,-0.06342967868240734,0.4788888656075354,0.8017001083557209,52.02570634553797,-5.346886122815931,0.4174537283688889,39.35474030346949
2020-12-09,554.92,578.08,530.43,573.09,997192.16738,0.032182772649446356,0.21479337563081913,1.232293166030855,54.81931859065985,-6.28585462016099,0.5017089622811366,39.94727479323191
2020-12-10,573.2,575.7,548.11,558.99,608414.51466,-0.024911188536239415,-0.4940870798044852,0.7615829759452906,52.27272386996568,-7.759355628359394,0.35820646099244474,39.06459025865086
2020-12-11,558.99,560.8,535.5,544.43,768921.78317,-0.026392208109120574,0.23413283473871616,1.0223282082285463,49.70497241316482,-9.502318885373228,0.238502298262644,38.081382434081235
2020-12-12,544.46,574.0,543.1,568.04,573913.95311,0.04245246297850169,-0.29250977433141934,0.8064851808598487,53.67852974926118,-8.865228910768906,0.4372364742613049,37.568415497255394
2020-12-13,568.09,595.0,563.22,590.7,657794.46158,0.03911643553637756,0.13641303650023673,0.9486680409169691,57.17552529885772,-6.8101861197774305,0.6441661461307568,37.15494897800238
2020-12-14,590.81,591.48,575.6,586.29,493012.02706,-0.007493726603094331,-0.2883589447043384,0.7030103233781818,56.284954540544376,-5.686149080504681,0.6163702826842695,35.635281542487704
2020-12-15,586.29,597.2,578.58,588.64,569270.52011,0.004000243646368418,0.14382218251386725,0.8126313215737555,56.672246424913794,-4.760204997460704,0.6282110422205364,34.41988332973394
2020-12-16,588.78,640.0,580.71,637.18,1185588.05078,0.07923739886731429,0.7336384239459601,1.7776763029705525,63.8052115121555,-1.0483738987482667,1.0093661429622094,36.196348681913186
2020-12-17,637.18,676.25,625.76,642.7,2006130.01975,0.008625862153462727,0.5259686059859892,2.8913228336466665,64.5205390230717,1.4719704488238996,1.014558746969135,37.21733895771662
2020-12-18,642.71,664.61,629.4,653.85,1000012.98018,0.017199914975270403,-0.6961945227722701,1.119185299289844,65.98297120530381,3.469331897235705,1.0377418686914848,37.07395562383885
2020-12-19,653.76,669.95,645.42,658.03,858803.88459,0.006372555638657573,-0.1522276698068339,0.9269017667545487,66.53978949122128,4.581476382730635,0.9860556840940515,36.17794730567728
2020-12-20,658.05,661.39,621.01,638.18,823958.22843,-0.030630147776590455,-0.041420754299469564,0.851873899534096,61.39990102344577,3.536503000758298,0.8109755648289104,36.47809750010395
2020-12-21,638.1,648.0,595.9,607.58,843251.16565,-0.04913652142708003,0.023145021299482593,0.8509368625361186,54.421037742973716,0.5001688694552016,0.5686656941715041,37.59396001452845
2020-12-22,607.68,637.73,588.0,636.45,918851.25654,0.046422006528945126,0.085859399383164,0.8826603113386213,59.139794653153984,0.1689545332165423,0.7662677585097811,38.46082891220982
2020-12-23,636.41,638.44,551.28,585.56,1208807.36518,-0.08333720601323247,0.27426524825396115,1.1080397620978122,49.425998712870395,-3.5398622671976767,0.39952752547119846,41.93937429067007
2020-12-24,585.48,615.02,565.43,612.31,886335.86333,0.044670035910799655,-0.31029354688456223,0.809987072017994,53.72829834734019,-4.208401070965728,0.5833821191431836,42.48585239263766
2020-12-25,612.31,634.24,604.28,626.82,798009.62915,0.023420727863460833,-0.1049752930426191,0.8541360376051147,55.91885512031314,-3.707843025422637,0.6797575086208616,41.59114129665818
2020-12-26,626.78,652.91,615.26,637.44,958585.50647,0.016800736878707312,0.18333810315389165,1.058706237196284,57.50456280744245,-2.740557591757412,0.739862397985674,41.309629055553245
2020-12-27,637.44,717.13,625.0,685.11,1859968.15029,0.07211925435543165,0.662855875925727,2.0223957011083544,63.79948459401713,0.8392475555282957,0.9954357453320029,44.93968127706791
2020-12-28,685.1,748.09,681.04,730.41,1627154.39266,0.06402661100357498,-0.13372664626877295,1.5239994553281098,68.56489859000042,5.715709467036373,1.13247182037823,46.51900015015472
2020-12-29,730.4,740.78,689.2,732.0,1106876.35855,0.0021744936461258746,-0.3852907608811549,0.9382906979956283,68.72054127599962,8.346761183055953,1.034600959168277,46.88050234841168
2020-12-30,732.0,758.74,716.62,752.17,1008574.09906,0.027181848269738573,-0.09300440668903853,0.8359268671724855,70.7022575055603,10.599217447426696,1.0376777859182535,46.54046453697539
2020-12-31,752.17,755.74,722.0,736.42,863375.57981,-0.021161754088296014,-0.15544303025057538,0.7329605393471582,67.12597211642831,10.17981169303659,0.9207540206538917,45.626140824086
2021-01-01,736.42,749.0,714.29,728.91,675114.09329,-0.010250340545636227,-0.2459680952857397,0.5747368230879646,65.42656638492882,8.61037623038142,0.8497469141280858,44.846412664719956
